Provider_ID,Name,Type,Address,City,Contact
1,Green Leaf Restaurant,Canteen,"29, MG Road",Pune,9362950628
2,City Bakery,Grocery Store,"36, MG Road",Delhi,9734036506
3,Fresh Mart,Hotel,"9, MG Road",Delhi,9334760738
4,Spice Garden,Grocery Store,"130, Linking Road",Mumbai,9702632297
5,Hotel Sunshine,Grocery Store,"184, Linking Road",Kolkata,9336696312
6,Daily Needs Store,Hotel,"151, Park Street",Mumbai,9914763202
7,Royal Kitchen,Grocery Store,"179, FC Road",Hyderabad,9398362082
8,Big Basket Outlet,Grocery Store,"56, Park Street",Delhi,9199585092
9,Annapurna Canteen,Hotel,"25, Park Street",Hyderabad,9748245888
10,Metro Supermarket,Supermarket,"12, FC Road",Delhi,9506448196
11,Taste of India,Restaurant,"142, Park Street",Hyderabad,9719927151
12,Swad Restaurant,Grocery Store,"181, MG Road",Mumbai,9810026086
13,Reliance Fresh,Grocery Store,"198, Park Street",Delhi,9349957310
14,Hotel Grand,Restaurant,"98, Park Street",Ahmedabad,9782560971
15,Udupi Bhavan,Supermarket,"42, Park Street",Hyderabad,9324956459
16,Morning Glory Bakery,Canteen,"69, MG Road",Bangalore,9673528321
17,Nature's Basket,Canteen,"63, Anna Salai",Ahmedabad,9507437181
18,Food Court Central,Supermarket,"164, Linking Road",Chennai,9835098955
19,Raj Catering,Supermarket,"197, MG Road",Chennai,9982403818
20,Surya Hotel,Restaurant,"81, FC Road",Pune,9171069472
